suite,imp,starttime,returnvalue,walltime,cputime,memory,blkio-read,blkio-write,pressure-cpu-some,pressure-io-some,pressure-memory-some
collatz,gcc,2026-09-24T14:08:54.435456+10:00,0,0.010892056000557204,0.009092,2412544,0,0,0.000088,0.000802,0
collatz,gcc,2026-09-24T14:08:54.724449+10:00,0,0.010375861000284203,0.008995,2412544,0,0,0.000064,0.000598,0
collatz,gcc,2026-09-24T14:08:55.001543+10:00,0,0.01039488700007496,0.008863,2375680,0,0,0.000078,0.000277,0
collatz,gcc,2026-09-24T14:08:55.273134+10:00,0,0.009613985000214598,0.008575,2379776,0,0,0.000039,0.00027,0
collatz,gcc,2026-09-24T14:08:55.563063+10:00,0,0.009998850000556558,0.008722,2412544,0,0,0.000067,0.000446,0
collatz,growler,2026-09-24T14:08:55.838120+10:00,0,2.872821015000227,2.870508,3457024,0,0,0.000247,0.000617,0
collatz,growler,2026-09-24T14:08:59.092245+10:00,0,2.9159114209996915,2.913637,3260416,0,0,0.000345,0.000486,0
collatz,growler,2026-09-24T14:09:02.413761+10:00,0,3.0079967330002546,3.004674,3268608,0,0,0.0002,0.000469,0
collatz,growler,2026-09-24T14:09:05.838557+10:00,0,3.0831621430006635,3.071772,3264512,0,0,0.008421,0.000725,0
collatz,growler,2026-09-24T14:09:09.305167+10:00,0,3.156057205000252,3.153654,3342336,0,0,0.00035,0.000258,0
collatz,python3,2026-09-24T14:09:12.837121+10:00,0,4.7305872489996545,4.70154,13742080,0,0,0.000732,0.000567,0
collatz,python3,2026-09-24T14:09:17.955069+10:00,0,5.041071814999668,5.016194,13742080,0,0,0.000769,0.000208,0
collatz,python3,2026-09-24T14:09:23.394082+10:00,0,4.847179933999541,4.822289,13914112,0,0,0.000284,0.000174,0
collatz,python3,2026-09-24T14:09:28.624403+10:00,0,4.609142672999951,4.583777,13746176,0,0,0.000573,0.0016,0
collatz,python3,2026-09-24T14:09:33.621146+10:00,0,4.602717945999757,4.577497,13750272,0,0,0.000733,0.001545,0
collatz,amber,2026-09-24T14:09:38.631321+10:00,0,0.173214759000075,0.170835,24948736,0,0,0.000141,0.000843,0
collatz,amber,2026-09-24T14:09:39.079310+10:00,0,0.17385386600017227,0.17167,24948736,0,0,0.000102,0.000907,0
collatz,amber,2026-09-24T14:09:39.512533+10:00,0,0.17498731200066686,0.17251,24920064,0,0,0.000342,0.000824,0
collatz,amber,2026-09-24T14:09:39.953078+10:00,0,0.1733864010002435,0.171159,24727552,0,0,0.000308,0.000846,0
collatz,amber,2026-09-24T14:09:40.400158+10:00,0,0.17614838000008604,0.173025,24948736,0,0,0.000194,0.001045,0
spectralnorm,python3,2026-09-24T14:09:40.841504+10:00,0,2.1331338359996153,7.266671,29532160,0,0,0.198661,0.00056,0
spectralnorm,python3,2026-09-24T14:09:43.276307+10:00,0,2.1193569790002584,7.256771,29679616,0,0,0.196767,0.000595,0
spectralnorm,python3,2026-09-24T14:09:45.709088+10:00,0,2.056370109999989,7.288991,29573120,0,0,0.181418,0.000577,0
spectralnorm,python3,2026-09-24T14:09:48.058147+10:00,0,2.06023584400009,7.31102,29450240,0,0,0.181055,0.000531,0
spectralnorm,python3,2026-09-24T14:09:50.428613+10:00,0,2.108119919999808,7.297132,29487104,0,0,0.208149,0.000561,0
